中心地,名前,住所
福岡市,メガフェイス880博多本店,福岡市博多区博多駅南３丁目６−１６
福岡市,玉屋∞本店,福岡市中央区春吉３丁目１２−１
福岡市,ワンダーランド 香椎本館,福岡市東区千早５丁目５−１ パチンコワンダーランド
福岡市,メガフェイス960 飯塚,"195-1, 195番地１ 若菜 飯塚市"
福岡市,ワンダーランド1188福岡東店,粕屋町仲原２５１４−１８ 糟屋郡糟屋郡 粕屋町仲原）大字）２５８０−２
福岡市,メガフェイス1000糸島,糸島市浦志１丁目６−１
福岡市,プラザ博多,福岡市博多区博多駅中央街５−３
福岡市,ＨＩＮＯＤＥ大野城店,大野城市瓦田４丁目１２−５
福岡市,メガフェイス1030 伊都店,福岡市西区北原１丁目１６−２６
福岡市,玉屋 太宰府店,太宰府市通古賀３丁目１−１
福岡市,クラブハウス 本店,飯塚市弁分４０−３
福岡市,那珂川キング本店1500,那珂川市 筑紫郡那珂川市今光６丁目５２
福岡市,ZOOM太宰府店,太宰府市 高雄1-3073-1
福岡市,MJアリーナ 箱崎店,福岡市東区箱崎４丁目１５−２９
福岡市,ユーコーラッキー３７ 鳥栖店,鳥栖市元町１３５７
福岡市,MEGA FACE 1500 宗像,宗像市徳重２丁目３−１
福岡市,プラザ 本店,福岡市博多区西月隈３丁目６−１７
福岡市,玉屋 筑前店,筑前町朝日６９５−１ 玉屋筑前店 1階
福岡市,玉屋 555大橋,福岡市南区大橋１丁目７−１５ 玉屋大橋ビル 2F
福岡市,ワンダーランド 香椎Ⅱ,福岡市東区千早５丁目５−３３
福岡市,プラザ天神,福岡市中央区天神２丁目６−４１
福岡市,ブーム 天神本店,福岡市中央区今泉１丁目１３−１
福岡市,マルハン 箱崎店,福岡市東区箱崎７丁目９−５２
福岡市,プラザ3,福岡市博多区博多駅南４丁目２１−１０
福岡市,Super D'station39福岡本店,粕屋町仲原２５７３−１
福岡市,GION１・１,福岡市博多区祇園町１−３０
福岡市,まるみつ大橋店,福岡市南区大橋１丁目１−３０ パチンコスペースインパレス
福岡市,ひばり 吉塚店,福岡市博多区吉塚２丁目１−２
福岡市,ファンファクトリー 太宰府栄店,太宰府市通古賀４丁目３−１
福岡市,Super D'station39伊都店,福岡市西区西区北原１丁目８−１
福岡市,ワンダーランド 小戸本館,福岡市西区小戸４丁目２４−３６
福岡市,Ａパーク春日店,春日市日の出町５丁目２４
福岡市,キング3 久山店1700,久山町久原３１８６
福岡市,イースペース福岡本店,福岡市東区原田３丁目７−３５
福岡市,SuperD'station 39 福重遠隔店,福岡市西区拾六町１丁目２−３１
福岡市,ＭＪアリーナ 空港店,福岡市博多区豊２丁目４−３６
福岡市,ＭＪアリーナ干隈店,福岡市早良区干隈６丁目８−１２
福岡市,１２３博多店,福岡市博多区住吉２丁目６−２４
福岡市,ＭＪアリーナ板付店,福岡市博多区西月隈６丁目７−１０
福岡市,ワンダーランド 百年橋店,福岡市南区那の川１丁目１−１
福岡市,玉屋トリアーダ宗像店,宗像市光岡２９０
福岡市,ワンダーランド 須恵店,須惠町須惠１０５１−１
福岡市,玉屋 空港店,福岡市博多区東那珂２丁目８−５０
福岡市,ワンダーランド 西新店,福岡市早良区城西３丁目２０−１５
福岡市,Super D'station39筑紫野店,筑紫野市筑紫９６８−２
福岡市,玉屋∞新宮,新宮町三代西１丁目４−１
福岡市,玉屋屋形原店,福岡市南区中尾３丁目３５−５
福岡市,MJアリーナ志免店,糟屋郡志免町南里１丁目１２−１
福岡市,つかさ 筑紫野店,筑紫野市石崎１丁目５−１７
福岡市,ＭＪアリーナ 井尻店,春日市桜ヶ丘４丁目１４
福岡市,MEGA BEAM ASAKURA 999,筑前町四三嶋１７９６
福岡市,マルハン 二又瀬店,福岡市東区二又瀬新町２−５
福岡市,ワンダーランド 小戸Ⅱ,福岡市西区小戸４丁目２１−１
福岡市,ファンファクトリー栄筑紫野店,筑紫野市二日市南３丁目５−１４
福岡市,Super D’station39飯塚店,飯塚市弁分１５−４
福岡市,ブロス 甘木店,朝倉市甘木４３９−１
福岡市,PSJ西新店,福岡市早良区西新５丁目２−３９
福岡市,ワンダーランド 小郡三沢店,小郡市三沢３０５１−８
福岡市,玉屋∞室見,福岡市早良区室見５丁目１−２４
福岡市,ワンダーランド 南ヶ丘店,大野城市紫台１９−１０
久留米市,マルハン 佐賀店,佐賀市巨勢町牛島７６０−１
久留米市,ワンダーランド 柳川店,柳川市三橋町枝光３７６−１
久留米市,ワンダーランド 高田店,みやま市高田町今福６６９
久留米市,マルハン みやき店,みやき町江口８１０６
久留米市,ワンダーランド 770東合川店,久留米市山川沓形町３−１ パチンコワンダーランド
久留米市,フェイス850 佐賀,佐賀市兵庫北６丁目１２−１ パチンコフェイス８５０佐賀
久留米市,ユーコーラッキー37ゆめパーク久留米店,久留米市新合川２丁目６−４５
久留米市,マルハン 東与賀店,２他 ５筆 佐賀市東与賀町大字下古賀字一本杉１６６番
久留米市,キャロル96上峰店,上峰町坊所２５１４−５２
久留米市,ワンダーランド 三潴店,久留米市三潴町高三潴１９０３
久留米市,ベルエアマックス1000広川店,広川町新代１３１１−１
久留米市,ワンダーランド 大川店,大川市榎津９４−３
久留米市,MJアリーナ 久留米店,久留米市津福本町２５６−４
久留米市,マルハン 大川店,大川市幡保２８５
久留米市,若宮ゴールデンラッキー,佐賀市若宮１丁目１−１０
久留米市,ユーコーラッキー 国分店,久留米市国分町１４２２−１
久留米市,ワンダーランド うきはバイパス店,うきは市吉井町鷹取５４−１
久留米市,ユーコーラッキー37筑後店,筑後市長浜２２４６−７
久留米市,フェイス701巨勢,佐賀市巨勢町４９０−１
久留米市,ワンダーランド １１８８大刀洗店,大刀洗町高樋２４５０−３
久留米市,Ａパーク 屋形原店,福岡市南区屋形原５丁目８−２６
久留米市,つかさ 神埼店,神埼市神埼町本告牟田１１９１
