name,address,latitude,longitude,description
メガフェイス880博多本店,福岡市博多区博多駅南３丁目６−１６,33.5832510,130.4257656,
玉屋∞本店,福岡市中央区春吉３丁目１２−１,33.5900371,130.4068820,
ワンダーランド 香椎本館,福岡市東区千早５丁目５−１ パチンコワンダーランド,33.6540888,130.4396901,
メガフェイス960 飯塚,"195-1, 195番地１ 若菜 飯塚市",33.6275158,130.6716319,
ワンダーランド1188福岡東店,粕屋町仲原２５１４−１８ 糟屋郡糟屋郡 粕屋町仲原）大字）２５８０−２,33.6091903,130.4513942,
メガフェイス1000糸島,糸島市浦志１丁目６−１,33.5612759,130.2117306,
プラザ博多,福岡市博多区博多駅中央街５−３,33.5896477,130.4219649,
ＨＩＮＯＤＥ大野城店,大野城市瓦田４丁目１２−５,33.5329074,130.4847109,
メガフェイス1030 伊都店,福岡市西区北原１丁目１６−２６,33.5783453,130.2544081,
玉屋 太宰府店,太宰府市通古賀３丁目１−１,33.5089914,130.5080611,
クラブハウス 本店,飯塚市弁分４０−３,33.6239393,130.6688641,
那珂川キング本店1500,那珂川市 筑紫郡那珂川市今光６丁目５２,33.5209888,130.4284525,
ZOOM太宰府店,太宰府市 高雄1-3073-1,33.4946939,130.5362478,
MJアリーナ 箱崎店,福岡市東区箱崎４丁目１５−２９,33.6231824,130.4193322,
ユーコーラッキー３７ 鳥栖店,鳥栖市元町１３５７,33.3754243,130.5062750,
MEGA FACE 1500 宗像,宗像市徳重２丁目３−１,33.7997434,130.5886427,
プラザ 本店,福岡市博多区西月隈３丁目６−１７,33.5712155,130.4537546,
玉屋 筑前店,筑前町朝日６９５−１ 玉屋筑前店 1階,33.4696633,130.5672202,
玉屋 555大橋,福岡市南区大橋１丁目７−１５ 玉屋大橋ビル 2F,33.5590294,130.4259248,
ワンダーランド 香椎Ⅱ,福岡市東区千早５丁目５−３３,33.6537529,130.4407326,
プラザ天神,福岡市中央区天神２丁目６−４１,33.5890851,130.3964122,
ブーム 天神本店,福岡市中央区今泉１丁目１３−１,33.5863048,130.4004443,
マルハン 箱崎店,福岡市東区箱崎７丁目９−５２,33.6338758,130.4234657,
プラザ3,福岡市博多区博多駅南４丁目２１−１０,33.5779248,130.4303828,
Super D'station39福岡本店,粕屋町仲原２５７３−１,33.6088753,130.4499619,
GION１・１,福岡市博多区祇園町１−３０,33.5937946,130.4141582,
まるみつ大橋店,福岡市南区大橋１丁目１−３０ パチンコスペースインパレス,33.5601238,130.4257739,
ひばり 吉塚店,福岡市博多区吉塚２丁目１−２,33.6039442,130.4242714,
ファンファクトリー 太宰府栄店,太宰府市通古賀４丁目３−１,33.5083624,130.5072396,
Super D'station39伊都店,福岡市西区西区北原１丁目８−１,33.5786597,130.2570781,
ワンダーランド 小戸本館,福岡市西区小戸４丁目２４−３６,33.5854910,130.3139583,
Ａパーク春日店,春日市日の出町５丁目２４,33.5410621,130.4515534,
キング3 久山店1700,久山町久原３１８６,33.6394633,130.4968652,
イースペース福岡本店,福岡市東区原田３丁目７−３５,33.6220826,130.4387033,
SuperD'station 39 福重遠隔店,福岡市西区拾六町１丁目２−３１,33.5677540,130.3161210,
ＭＪアリーナ 空港店,福岡市博多区豊２丁目４−３６,33.5985549,130.4356400,
ＭＪアリーナ干隈店,福岡市早良区干隈６丁目８−１２,33.5496704,130.3479321,
１２３博多店,福岡市博多区住吉２丁目６−２４,33.5868592,130.4123012,
ＭＪアリーナ板付店,福岡市博多区西月隈６丁目７−１０,33.5615192,130.4593075,
ワンダーランド 百年橋店,福岡市南区那の川１丁目１−１,33.5762429,130.4152559,
玉屋トリアーダ宗像店,宗像市光岡２９０,33.7849505,130.5549088,
ワンダーランド 須恵店,須惠町須惠１０５１−１,33.5851375,130.5063555,
玉屋 空港店,福岡市博多区東那珂２丁目８−５０,33.5772662,130.4448340,
ワンダーランド 西新店,福岡市早良区城西３丁目２０−１５,33.5819082,130.3604595,
Super D'station39筑紫野店,筑紫野市筑紫９６８−２,33.4581770,130.5378760,
玉屋∞新宮,新宮町三代西１丁目４−１,33.7006139,130.4526666,
玉屋屋形原店,福岡市南区中尾３丁目３５−５,33.5438065,130.4087267,
MJアリーナ志免店,糟屋郡志免町南里１丁目１２−１,33.5941785,130.4716446,
つかさ 筑紫野店,筑紫野市石崎１丁目５−１７,33.4847270,130.5286290,
ＭＪアリーナ 井尻店,春日市桜ヶ丘４丁目１４,33.5447895,130.4476992,
MEGA BEAM ASAKURA 999,筑前町四三嶋１７９６,33.4374516,130.5817376,
マルハン 二又瀬店,福岡市東区二又瀬新町２−５,33.6088244,130.4415261,
ワンダーランド 小戸Ⅱ,福岡市西区小戸４丁目２１−１,33.5844811,130.3146558,
ファンファクトリー栄筑紫野店,筑紫野市二日市南３丁目５−１４,33.4889202,130.5247289,
Super D’station39飯塚店,飯塚市弁分１５−４,33.6221285,130.6706043,
ブロス 甘木店,朝倉市甘木４３９−１,33.4066089,130.6515822,
PSJ西新店,福岡市早良区西新５丁目２−３９,33.5820536,130.3573812,
ワンダーランド 小郡三沢店,小郡市三沢３０５１−８,33.4189869,130.5587215,
玉屋∞室見,福岡市早良区室見５丁目１−２４,33.5804402,130.3396596,
ワンダーランド 南ヶ丘店,大野城市紫台１９−１０,33.5051798,130.4799600,
マルハン 佐賀店,佐賀市巨勢町牛島７６０−１,33.2531772,130.3161179,
ワンダーランド 柳川店,柳川市三橋町枝光３７６−１,33.1766088,130.3995005,
ワンダーランド 高田店,みやま市高田町今福６６９,33.1064535,130.4587258,
マルハン みやき店,みやき町江口８１０６,33.3196514,130.4829365,
ワンダーランド 770東合川店,久留米市山川沓形町３−１ パチンコワンダーランド,33.3187890,130.5628464,
フェイス850 佐賀,佐賀市兵庫北６丁目１２−１ パチンコフェイス８５０佐賀,33.2756109,130.3137049,
ユーコーラッキー37ゆめパーク久留米店,久留米市新合川２丁目６−４５,33.3189796,130.5412540,
マルハン 東与賀店,２他 ５筆 佐賀市東与賀町大字下古賀字一本杉１６６番,33.1810938,130.2807777,
キャロル96上峰店,上峰町坊所２５１４−５２,33.3352139,130.4186217,
ワンダーランド 三潴店,久留米市三潴町高三潴１９０３,33.2504764,130.4542826,
ベルエアマックス1000広川店,広川町新代１３１１−１,33.2532118,130.5398939,
ワンダーランド 大川店,大川市榎津９４−３,33.2038263,130.3812177,
MJアリーナ 久留米店,久留米市津福本町２５６−４,33.3039991,130.5108999,
マルハン 大川店,大川市幡保２８５,33.1976023,130.3796092,
若宮ゴールデンラッキー,佐賀市若宮１丁目１−１０,33.2708895,130.2934739,
ユーコーラッキー 国分店,久留米市国分町１４２２−１,33.2995644,130.5313555,
ワンダーランド うきはバイパス店,うきは市吉井町鷹取５４−１,33.3482551,130.7295074,
ユーコーラッキー37筑後店,筑後市長浜２２４６−７,33.2092156,130.5105705,
フェイス701巨勢,佐賀市巨勢町４９０−１,33.2501684,130.3223491,
ワンダーランド １１８８大刀洗店,大刀洗町高樋２４５０−３,33.4051049,130.5995440,
Ａパーク 屋形原店,福岡市南区屋形原５丁目８−２６,33.5313926,130.4042330,
つかさ 神埼店,神埼市神埼町本告牟田１１９１,33.2982071,130.3614168,
ワンダーランド 吉井店,うきは市吉井町清瀬５１８−１,33.3405393,130.7667690,
スーパーハリウッド1120,春日市星見ヶ丘６丁目32番地,33.5075644,130.4510447,
WIN-WIN ONE 久留米店,久留米市諏訪野町２５７５−２,33.3123431,130.5272613,
フェイス666 神埼,吉野ヶ里町吉田２８５７−１,33.3295359,130.4118977,
メッカ 朝倉店,朝倉市屋永４３３４−２,33.4070916,130.6683441,
ダイナム福岡甘木店,朝倉市甘木404番地2,33.4078905,130.6541165,
玉屋中尾店,福岡市南区中尾２丁目２−２７,33.5434358,130.4090742,
ユーコーラッキー 広又本店,久留米市東町２８−９ 広又ラッキー,33.3107921,130.5168211,
エムザス みやき店,三養基郡みやき町白壁２１１７−１,33.3253454,130.4768428,
ゴールドラッシュ 鳥栖店,鳥栖市神辺町２１−１,33.3869980,130.5126347,
ユーコーラッキー37 太宰府店,太宰府市大佐野２丁目１５−１,33.5032347,130.4986425,
EVO37久留米(イーヴォスリーセブンクルメ),久留米市新合川２丁目６−７,33.3194006,130.5409032,
キャロル96津福本店,久留米市津福本町１４４１−１,33.2966770,130.5011534,
スタジアム 2001 八女店,八女市室岡７７９−１,33.2156798,130.5201594,
太陽会館 一番街店,久留米市東町３９−１６,33.3123891,130.5197620,
キング2,那珂川市中原２丁目１０,33.5176652,130.4327496,
